episode,mean_reward,max_reward,min_reward,min_cost,min_index,converged,timestep_final,consumption,generation,loads,losses,actor_losses,critic_losses
0,-0.021701528,0.011535723,-2.0,1054.5737184455115,1,0,102,196.18097131073262,196.18097129258393,20.0-22.0-20.0-22.0-20.0,0.08362191,0.00031886698,0.16972445
1,-0.022781685,0.0118785035,-2.0,1043.4620103060781,2,0,118,196.10897024816296,196.10897023022412,22.0-20.0-22.0-20.0-22.0,0.095620945,0.002676316,0.18901975
2,-0.020929847,0.011834322,-2.0,1035.2101404230236,9,0,117,195.70201860367408,195.70201858759083,23.0-23.0-25.0-23.0-22.0,0.09534499,-0.005593145,0.20500666
3,-0.0040098145,0.011834322,-0.03564112,1016.9786368349611,29,0,124,194.7246393974192,194.72463938433356,33.0-26.0-26.0-36.0-26.0,0.056998577,0.0022693684,0.11259944
4,-0.019902581,0.011564715,-2.0,1034.20883784968,37,0,120,194.3057740366716,194.30577402507242,34.0-33.0-30.0-39.0-25.0,0.10005277,0.008296236,0.18665396
5,-0.019246764,0.011776925,-2.0,1039.4910637460848,7,0,99,195.88268459228163,195.88268457472685,26.0-22.0-20.0-22.0-23.0,0.17016794,0.06934198,0.2047814
6,-0.019700771,0.01180519,-2.0,1046.1910299838778,5,0,90,195.9335055522035,195.9335055350639,22.0-23.0-22.0-23.0-20.0,0.20695345,0.1035581,0.20992875
7,-0.019176483,0.0118785035,-2.0,1032.6661969444729,7,0,106,195.8440907453898,195.84409072858773,23.0-22.0-23.0-23.0-22.0,0.058471132,-0.0316379,0.18336385
8,-0.01869457,0.011776925,-2.0,1035.3134438591312,36,0,117,194.35600022952138,194.35600021755766,38.0-30.0-30.0-33.0-30.0,0.108933434,0.024725258,0.1715416
9,-0.01909226,0.010945996,-2.0,1015.6395597777412,35,0,119,194.39965687468174,194.3996568640116,25.0-28.000000000000004-39.0-39.0-26.0,0.08851085,0.0062836455,0.16754478
10,-0.01716648,0.010936261,-2.0,1035.0769500639155,6,0,114,195.89763213670915,195.89763212004218,20.0-20.0-23.0-26.0-22.0,0.09372444,0.0024168126,0.18564786
11,-0.01861825,0.011520823,-2.0,1026.9540035028888,40,0,110,194.1292917961586,194.1292917860919,30.0-31.0-42.0-34.0-28.000000000000004,0.10088254,0.008703247,0.18747787
12,-0.019151734,0.01180519,-2.0,1053.229020425985,14,0,109,195.4509809232293,195.4509809076759,26.0-25.0-22.0-26.0-25.0,0.120683424,0.031297334,0.18187942
13,-0.019005114,0.011488187,-2.0,968.977027320906,75,0,122,193.00367258633023,193.00367257905515,52.0-33.0-65.0-38.0-34.0,0.08668283,0.0018631866,0.17273419
14,-0.019469008,0.011307577,-2.0,1057.2763888612212,0,0,104,196.23099382587307,196.23099380749224,20.0-22.0-20.0-20.0-20.0,0.11996066,0.04430679,0.15436713
15,-0.002250894,0.011092053,-0.03190474,1004.1293547168158,32,0,124,194.55785655684699,194.55785654515725,31.0-23.0-38.0-30.0-31.0,0.054335404,0.0189278,0.07375042
16,-0.016890854,0.011646682,-2.0,979.0895843843099,28,0,73,194.65135135009763,194.6513513390691,25.0-28.000000000000004-50.0-22.0-22.0,0.2294063,0.11719685,0.22722758
