episode,mean_reward,max_reward,min_reward,min_cost,min_index,converged,timestep_final,consumption,generation,loads,losses,actor_losses,critic_losses
29,3.4791756e-05,0.011602638,-0.02820586,930.1582842148804,55,0,124,193.6776759354217,193.67767592553994,52.0-26.0-47.0-33.0-31.0,0.04245527,0.018119255,0.051441006
30,-0.020985426,0.011747804,-2.0,804.3026338310118,114,0,115,192.64410216232938,192.64410215526954,100.0-25.0-76.0-54.0-28.000000000000004,0.13972284,0.0037072808,0.27466452
31,-0.11743853,0.011741712,-1.0,798.4305288343988,92,0,124,192.89191858356384,192.89191857492722,94.0-26.0-60.0-44.0-25.0,1.3628546,0.0044766245,2.7194474
32,-0.062911764,0.0118785035,-1.0,872.004466298141,75,0,124,193.1504763236,193.15047631362978,81.0-30.0-42.0-42.0-26.0,0.45417884,0.015028464,0.8809655
33,-0.045986217,0.011834322,-1.0,834.7727712023836,87,0,124,192.97324637546248,192.9732463660348,92.0-23.0-47.0-47.0-31.0,0.29624876,0.018525567,0.55803466
34,-0.21345264,0.0118785035,-1.0,825.8151389925324,78,0,124,193.20066051823454,193.20066050741337,95.0-26.0-42.0-38.0-25.0,2.4338372,0.015762514,4.8386846
35,-0.08673374,0.011834322,-1.0,876.2050203601275,88,0,124,192.93229656467034,192.93229655500153,97.0-26.0-42.0-44.0-33.0,0.6377806,-0.0065706396,1.291219
36,-0.20616685,0.0118785035,-1.0,833.5310283233874,63,0,124,193.67163311145703,193.6716330983256,87.0-26.0-30.0-38.0-22.0,1.936744,0.0062054843,3.8635397
37,-0.1741735,0.0118785035,-1.0,834.4672589584186,80,0,124,193.1634899769315,193.16348996643745,92.0-23.0-41.0-44.0-30.0,2.0274472,0.0006230752,4.0562224
38,-0.11872325,0.0118785035,-1.0,926.5092216531164,89,0,124,192.9112198554349,192.9112198453895,98.0-30.0-33.0-49.0-34.0,0.79518247,-0.0036090345,1.6002083
39,-0.055693436,0.0118785035,-1.0,932.4666754557694,64,0,124,193.3889295313636,193.38892952109074,70.0-30.0-41.0-33.0-31.0,0.42024773,0.028028803,0.78695303
40,-0.21487269,0.0118785035,-1.0,836.0463676557977,56,0,124,193.8681070424925,193.86810702938143,76.0-23.0-31.0-38.0-23.0,2.322879,0.02033294,4.6076727
41,-0.08631931,0.0118785035,-1.0,862.7694806279662,78,0,124,193.09503450392648,193.09503449373827,86.0-30.0-39.0-47.0-25.0,0.7469436,-0.0057821195,1.5079714
42,-0.08575985,0.0118785035,-1.0,808.0788850545497,80,0,124,193.17708397478967,193.1770839644518,90.0-22.0-44.0-46.0-28.000000000000004,0.54319686,0.02728244,1.0342923
43,-0.23847786,0.0118785035,-1.0,823.9330851967707,53,0,124,193.90566739472698,193.90566738219107,71.0-22.0-39.0-31.0-23.0,2.989648,-0.0051985364,5.99202
44,-0.12569183,0.0118785035,-1.0,822.3049190739483,105,0,124,192.74374416188434,192.74374415279647,100.0-28.000000000000004-44.0-65.0-23.0,0.98322815,0.03700839,1.894843
45,-0.2623629,0.0118785035,-1.0,837.8494173137475,58,0,124,193.93774841548566,193.93774840085362,90.0-22.0-26.0-30.0-26.0,2.3067882,0.00029747884,4.6152472
46,-0.27865848,0.0118785035,-1.0,854.8320695742893,62,0,124,193.8369488215238,193.83694880743928,92.0-20.0-26.0-31.0-31.0,2.5776772,0.019483028,5.1185737
47,-0.3256416,0.0118785035,-1.0,849.8225859850919,73,0,124,193.41951756010698,193.41951754768652,100.0-26.0-33.0-33.0-25.0,3.6588569,-0.0005493338,7.321321
48,-0.20578502,0.0118785035,-1.0,825.6155954884048,81,0,124,193.17146226391642,193.1714622535492,97.0-25.0-47.0-34.0-28.000000000000004,2.2565231,0.026388032,4.4627976
49,-0.18990237,0.0118785035,-1.0,838.972584576513,81,0,124,193.29184871984975,193.29184870806955,100.0-26.0-36.0-38.0-25.0,1.4013441,0.00965909,2.7858512
50,-0.16683978,0.0118785035,-1.0,865.2600225955673,78,0,124,193.28776021071994,193.28776019904433,100.0-26.0-36.0-34.0-28.000000000000004,1.330071,0.027775329,2.606864
51,-0.33366913,0.0118785035,-1.0,826.747775273806,71,0,124,193.60120976842924,193.6012097551094,100.0-23.0-31.0-31.0-25.0,3.3582342,-0.0055348915,6.7297416
52,-0.294988,0.011776925,-1.0,851.4035279728572,72,0,124,193.64702815902058,193.64702814542653,100.0-20.0-26.0-36.0-31.0,2.7115614,0.009130792,5.4070415
53,-0.2793373,0.0118785035,-1.0,901.6561949177498,52,0,124,194.0666286346385,194.06662862000323,78.0-26.0-20.0-34.0-26.0,2.5540311,0.0486307,5.0130153
54,-0.2861619,0.011821071,-1.0,837.4803490106594,70,0,124,193.4902989460028,193.4902989337241,94.0-25.0-34.0-34.0-26.0,2.864209,-0.0025193235,5.735776
55,-0.23749335,0.011834322,-1.0,837.7837322237582,79,0,124,193.39810124370385,193.39810123112903,100.0-23.0-26.0-47.0-26.0,2.2575557,0.015037396,4.48778
